step,plausibility,faithfulness,lext_score,reward
0,0.8000,0.7333,0.7652,0.2652
1,0.7500,0.7333,0.7416,0.2416
2,0.8000,0.8000,0.8000,0.3000
3,0.2250,0.4667,0.3036,-0.1964
4,0.6500,0.5333,0.5859,0.0859
5,0.0000,0.0000,0.0000,-0.5000
7,0.4250,0.6000,0.4976,-0.0024
8,0.1250,0.0333,0.0526,-0.4474
9,0.0750,0.0000,0.0000,-0.5000
10,0.5500,0.6333,0.5887,0.0887
11,0.2500,0.5000,0.3333,-0.1667
12,0.4250,0.4000,0.4121,-0.0879
13,0.2500,0.4667,0.3256,-0.1744
14,0.8000,0.7333,0.7652,0.2652
15,0.8000,0.6667,0.7273,0.2273
16,0.6500,0.5333,0.5859,0.0859
17,0.4250,0.5000,0.4595,-0.0405
18,0.0750,0.4333,0.1279,-0.3721
19,0.2000,0.3333,0.2500,-0.2500
20,0.2000,0.1667,0.1818,-0.3182
21,0.7250,0.6667,0.6946,0.1946
22,0.4250,0.3667,0.3937,-0.1063
23,0.4250,0.5333,0.4730,-0.0270
24,0.6500,0.5333,0.5859,0.0859
25,0.2500,0.5000,0.3333,-0.1667
26,0.5500,0.4333,0.4847,-0.0153
28,0.3750,0.4667,0.4158,-0.0842
29,0.8000,0.5667,0.6634,0.1634
30,0.4250,0.5333,0.4730,-0.0270
32,0.5000,0.5667,0.5312,0.0312
33,0.4250,0.5333,0.4730,-0.0270
34,0.4250,0.4000,0.4121,-0.0879
35,0.6500,0.7000,0.6741,0.1741
36,0.5500,0.4333,0.4847,-0.0153
37,0.6500,0.5333,0.5859,0.0859
38,0.8000,0.7333,0.7652,0.2652
39,0.6500,0.5333,0.5859,0.0859
40,0.2500,0.2000,0.2222,-0.2778
41,0.2500,0.4667,0.3256,-0.1744
43,0.4250,0.5333,0.4730,-0.0270
44,0.0000,0.0000,0.0000,-0.5000
45,0.4250,0.6667,0.5191,0.0191
46,0.0750,0.0000,0.0000,-0.5000
47,0.4250,0.4000,0.4121,-0.0879
48,0.2000,0.1667,0.1818,-0.3182
49,0.8000,0.6667,0.7273,0.2273
52,0.6500,0.5000,0.5652,0.0652
53,0.7250,0.6333,0.6761,0.1761
55,0.4750,0.6000,0.5302,0.0302
56,0.4250,0.5333,0.4730,-0.0270
58,0.5500,0.4333,0.4847,-0.0153
59,0.7500,0.7333,0.7416,0.2416
60,0.5500,0.4333,0.4847,-0.0153
61,0.5500,0.6333,0.5887,0.0887
62,0.6500,0.7000,0.6741,0.1741
63,0.2000,0.1667,0.1818,-0.3182
64,0.4250,0.4000,0.4121,-0.0879
65,0.5500,0.6333,0.5887,0.0887
66,0.8000,0.7333,0.7652,0.2652
67,0.4250,0.5333,0.4730,-0.0270
68,0.0000,0.0000,0.0000,-0.5000
69,0.5500,0.4333,0.4847,-0.0153
71,0.5000,0.5667,0.5312,0.0312
72,0.8000,0.7333,0.7652,0.2652
73,0.8000,0.6333,0.7070,0.2070
74,0.0750,0.0000,0.0000,-0.5000
76,0.8000,0.7333,0.7652,0.2652
78,0.2500,0.2000,0.2222,-0.2778
79,0.2500,0.4667,0.3256,-0.1744
80,0.4250,0.4000,0.4121,-0.0879
81,0.6500,0.5000,0.5652,0.0652
82,0.4250,0.4000,0.4121,-0.0879
83,0.6250,0.5333,0.5755,0.0755
87,0.0750,0.1000,0.0857,-0.4143
88,0.8000,0.5667,0.6634,0.1634
90,0.2500,0.5000,0.3333,-0.1667
92,0.2000,0.3333,0.2500,-0.2500
93,0.2500,0.4667,0.3256,-0.1744
94,0.2250,0.4667,0.3036,-0.1964
95,0.3750,0.4667,0.4158,-0.0842
96,0.2500,0.4667,0.3256,-0.1744
97,0.7500,0.7333,0.7416,0.2416
98,0.5500,0.4333,0.4847,-0.0153
99,0.8000,0.6667,0.7273,0.2273
100,0.5500,0.6667,0.6027,0.1027
101,0.0000,0.0000,0.0000,-0.5000
102,0.8000,0.6667,0.7273,0.2273
103,0.2500,0.4667,0.3256,-0.1744
105,0.6500,0.5333,0.5859,0.0859
107,0.2500,0.3667,0.2973,-0.2027
108,0.8000,0.6667,0.7273,0.2273
109,0.4750,0.6000,0.5302,0.0302
112,0.3750,0.3333,0.3529,-0.1471
113,0.4250,0.6000,0.4976,-0.0024
114,0.2250,0.4667,0.3036,-0.1964
116,0.5500,0.6333,0.5887,0.0887
117,0.8000,0.7333,0.7652,0.2652
118,0.6750,0.7000,0.6873,0.1873
119,0.5500,0.6333,0.5887,0.0887
120,0.5500,0.4333,0.4847,-0.0153
121,0.8000,0.7333,0.7652,0.2652
122,0.8500,0.6333,0.7258,0.2258
124,0.4250,0.6000,0.4976,-0.0024
125,0.5500,0.6333,0.5887,0.0887
130,0.5750,0.5000,0.5349,0.0349
131,0.4250,0.5333,0.4730,-0.0270
132,0.6750,0.7000,0.6873,0.1873
133,0.6500,0.5333,0.5859,0.0859
134,0.8000,0.6333,0.7070,0.2070
135,0.8000,0.7333,0.7652,0.2652
136,0.0750,0.2333,0.1135,-0.3865
137,0.7000,0.5333,0.6054,0.1054
139,0.0000,0.0000,0.0000,-0.5000
140,0.8000,0.7333,0.7652,0.2652
141,0.4250,0.5333,0.4730,-0.0270
143,0.1000,0.3333,0.1538,-0.3462
144,0.8000,0.7333,0.7652,0.2652
145,0.8000,0.6333,0.7070,0.2070
146,0.5750,0.6000,0.5872,0.0872
148,0.5500,0.6333,0.5887,0.0887
149,0.2250,0.4667,0.3036,-0.1964
150,0.2250,0.4667,0.3036,-0.1964
151,0.2250,0.3667,0.2789,-0.2211
152,0.7500,0.8000,0.7742,0.2742
153,0.8000,0.6667,0.7273,0.2273
154,0.8000,0.6667,0.7273,0.2273
155,0.0000,0.0000,0.0000,-0.5000
156,0.5500,0.6667,0.6027,0.1027
159,0.4500,0.6000,0.5143,0.0143
160,0.6500,0.5333,0.5859,0.0859
161,0.2500,0.2667,0.2581,-0.2419
162,0.8000,0.6333,0.7070,0.2070
